date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
13/12/2017,"123 Adamstown Way, Adamstown Square, Adamstown",Dublin,246696.03,Yes,Adamstown,Co. Dublin,q3,70%
14/12/2017,"24 Strattton Square, Adamstown Square, Adamstown",Dublin,233480.17,Yes,Adamstown,Co. Dublin,q3,60%
18/12/2017,"127 Adamstown Way, Adamstown Square, Adamstown",Dublin,246696.0,Yes,Adamstown,Co. Dublin,q3,70%
18/12/2017,"22 Stratton Square, Adamstown Square, Adamstown",Dublin,255506.6,Yes,Adamstown,Co. Dublin,q3,80%
19/12/2017,"135 Adamstown Way, Adamstown Square, Adamstown",Dublin,246696.0,Yes,Adamstown,Co. Dublin,q3,70%
19/12/2017,"20 Adamstown Park, Adamstown Sq, Adamstown",Dublin,276000.0,No,Adamstown,Co. Dublin,q4,90%
20/12/2017,"129 Adamstown Way, Adamstown Square, Adamstown",Dublin,246696.03,Yes,Adamstown,Co. Dublin,q3,70%
04/01/2018,"24 Stratton Drive, Adamstown Square, Adamstown",Dublin,255506.6,Yes,Adamstown,Co. Dublin,q3,80%
10/01/2018,"12 Stratton Close, Adamstown Square, Adamstown",Dublin,281938.32,Yes,Adamstown,Co. Dublin,q4,90%
22/01/2018,"116 Castlegate Way, Adamstown, Dublin",Dublin,37500.0,No,Adamstown,Co. Dublin,q1,10%
22/01/2018,"22 Stratton Drive, Adamstown Square, Adamstown",Dublin,290000.0,Yes,Adamstown,Co. Dublin,q4,90%
23/01/2018,"131 Adamstown Way, Adamstown Square, Adamstown",Dublin,246696.0,Yes,Adamstown,Co. Dublin,q3,70%
24/01/2018,"13 Adamstown Boulevard, Adamstown Square, Adamstown",Dublin,295154.18,Yes,Adamstown,Co. Dublin,q4,90%
24/01/2018,"18 Stratton Square, Adamstown Square, Adamstown",Dublin,255506.6,Yes,Adamstown,Co. Dublin,q3,80%
30/01/2018,"17 Adamstown Boulevard, Adamstown Square, Adamstown",Dublin,295154.0,Yes,Adamstown,Co. Dublin,q4,90%
31/01/2018,"19 Adamstown Boulevard, Adamstown Square, Adamstown",Dublin,295154.19,Yes,Adamstown,Co. Dublin,q4,100%
01/02/2018,"11 Adamstown Boulevard, Adamstown Square, Adamstown",Dublin,295154.0,Yes,Adamstown,Co. Dublin,q4,90%
07/02/2018,"25 Adamstown Boulevard, Adamstown Square, Adamstown",Dublin,308370.04,Yes,Adamstown,Co. Dublin,q4,100%
14/02/2018,"23 Stratton Close, Adamstown Square, Adamstown",Dublin,281938.0,Yes,Adamstown,Co. Dublin,q4,90%
15/02/2018,"7 Adamstown Boulevard, Adamstown Square, Adamstown",Dublin,295154.0,Yes,Adamstown,Co. Dublin,q4,90%
20/02/2018,"33 Castlegate Green, Adamstown Castle, Adamstown",Dublin,270000.0,No,Adamstown,Co. Dublin,q4,90%
26/02/2018,"125 Adamstown Way, Adamstown Square, Adamstown",Dublin,246696.03,Yes,Adamstown,Co. Dublin,q3,70%
26/02/2018,"21 Adamstown Boulevard, Adamstown Square, Adamstown",Dublin,295154.18,Yes,Adamstown,Co. Dublin,q4,90%
06/03/2018,"15 Adamstown Boulevard, Adamstown Square, Adanstown",Dublin,295154.0,Yes,Adamstown,Co. Dublin,q4,90%
08/03/2018,"15 Stratton Drive, Adamstown Square, Adamstown",Dublin,268723.0,Yes,Adamstown,Co. Dublin,q4,90%
04/05/2018,"13 Castlegate Downs, Adamstown, Dublin",Dublin,215494.0,No,Adamstown,Co. Dublin,q2,50%
10/05/2018,"3 Adamstown Boulevard, Adamstown Square, Adamstown",Dublin,295154.18,Yes,Adamstown,Co. Dublin,q4,90%
14/05/2018,"13 Stratton Way, Adamstown Square, Adamstown",Dublin,237885.46,Yes,Adamstown,Co. Dublin,q3,60%
04/07/2018,"5 Adamstown Boulevard, Adamstown Square, Adamstown",Dublin,295154.18,Yes,Adamstown,Co. Dublin,q4,90%
09/07/2018,"133 Adamstown Way, Adamstown Square, Adamstown",Dublin,264317.18,Yes,Adamstown,Co. Dublin,q4,90%
17/07/2018,"27 The Crescent, The Paddocks, Adamstown",Dublin,343000.0,No,Adamstown,Co. Dublin,q4,100%
31/07/2018,"5 The Paddocks Walk, Adamstown, Dublin",Dublin,280000.0,No,Adamstown,Co. Dublin,q4,90%
03/08/2018,"33 Adamstown Park, St Helen&#039;S, Adamstown",Dublin,335000.0,Yes,Adamstown,Co. Dublin,q4,100%
03/08/2018,"37 Adamstown Park, St Helens, Adamstown",Dublin,295154.18,Yes,Adamstown,Co. Dublin,q4,100%
09/08/2018,"22 St. Helen'S Drive, St. Helen'S, Adamstown",Dublin,255507.0,Yes,Adamstown,Co. Dublin,q3,80%
09/08/2018,"27 Adamstown Park, St. Helens, Adamstown",Dublin,303964.41,Yes,Adamstown,Co. Dublin,q4,100%
10/08/2018,"35 Adamstown Park, St Helens, Adamstown",Dublin,299558.81,Yes,Adamstown,Co. Dublin,q4,100%
13/08/2018,"2 St. Helen'S Grove, St. Helen'S, Adamstown",Dublin,259912.0,Yes,Adamstown,Co. Dublin,q4,80%
14/08/2018,"26 St. Helen'S Drive, St. Helen'S, Adamstown",Dublin,255506.0,Yes,Adamstown,Co. Dublin,q3,80%
14/08/2018,"30 St. Helen'S Drive, St. Helen'S, Adamstown",Dublin,325991.18,Yes,Adamstown,Co. Dublin,q4,100%
14/08/2018,"6  St. Helen'S Grove, St. Helens, Adamstown",Dublin,259911.89,Yes,Adamstown,Co. Dublin,q4,80%
15/08/2018,"31 Adamstown Park, St Helen'S, Adamstown",Dublin,295154.18,Yes,Adamstown,Co. Dublin,q4,100%
21/08/2018,"12 Paddocks Way, Adamstown, Co Dublin",Dublin,250000.0,No,Adamstown,Co. Dublin,q3,70%
21/08/2018,"39 Adamstown Park, St Helen'S, Adamstown",Dublin,301762.11,Yes,Adamstown,Co. Dublin,q4,100%
24/08/2018,"4 St Helen'S Grove, St Helen'S, Adamstown",Dublin,285000.0,Yes,Adamstown,Co. Dublin,q4,90%
29/08/2018,"1 St Helen'S Chase, St. Helen'S, Adamstown",Dublin,325991.08,Yes,Adamstown,Co. Dublin,q4,100%
29/08/2018,"24 St Helens Drive, St Helens, Adamstown",Dublin,255506.6,Yes,Adamstown,Co. Dublin,q3,80%
04/09/2018,"22 Castlegate Grove, Adamstown, Dublin",Dublin,315000.0,No,Adamstown,Co. Dublin,q4,100%
04/09/2018,"28 St. Helen'S Drive, St. Helen'S, Adamstown",Dublin,255507.0,Yes,Adamstown,Co. Dublin,q3,80%
05/09/2018,"9 St. Helen'S Avenue, St. Helen'S, Adamstown",Dublin,251101.31,Yes,Adamstown,Co. Dublin,q3,70%
07/09/2018,"27 St. Helen'S Drive, St Helen'S, Adamstown",Dublin,251093.51,Yes,Adamstown,Co. Dublin,q3,70%
07/09/2018,"29 St. Helen'S Drive, St. Helen'S, Adamstown",Dublin,251100.0,Yes,Adamstown,Co. Dublin,q3,70%
10/09/2018,"14 St Helens Grove, St Helens, Adamstown",Dublin,251102.0,Yes,Adamstown,Co. Dublin,q3,70%
10/09/2018,"16 St. Helen'S Grove, St. Helen'S, Adamstown",Dublin,251101.32,Yes,Adamstown,Co. Dublin,q3,70%
11/09/2018,"25 St. Helen'S Drive, St. Helen'S, Adamstown",Dublin,251102.0,Yes,Adamstown,Co. Dublin,q3,70%
13/09/2018,"30 The Paddocks Crescent, Adamstown Lucan, Dublin",Dublin,347000.0,No,Adamstown,Co. Dublin,q4,100%
17/09/2018,"11 St Helen'S Avenue, St Helen'S, Adamstown",Dublin,251101.32,Yes,Adamstown,Co. Dublin,q3,70%
17/09/2018,"21 St. Helen'S Drive, St. Helen'S, Adamstown",Dublin,251102.0,Yes,Adamstown,Co. Dublin,q3,70%
18/09/2018,"23 St. Helen'S Drive, St. Helen'S, Adamstown",Dublin,251102.0,Yes,Adamstown,Co. Dublin,q3,70%
24/09/2018,"22 St. Helen'S Walk, St. Helen'S, Adamstown",Dublin,306167.4,Yes,Adamstown,Co. Dublin,q4,100%
26/09/2018,"7 St Helen'S Avenue, St Helen'S, Adamstown",Dublin,251101.32,Yes,Adamstown,Co. Dublin,q3,70%
28/09/2018,"40 St Helen'S Avenue, St Helen'S, Adamstown",Dublin,259911.0,Yes,Adamstown,Co. Dublin,q4,80%
02/10/2018,"52 St. Helen'S Avenue, St. Helen'S, Adamstown",Dublin,321585.9,Yes,Adamstown,Co. Dublin,q4,100%
04/10/2018,"34 St. Helen'S Avenue, St. Helens, Adamstown",Dublin,255506.0,Yes,Adamstown,Co. Dublin,q3,80%
04/10/2018,"36 St  Helen'S Avenue, St Helen'S, Adamstown",Dublin,255506.6,Yes,Adamstown,Co. Dublin,q3,80%
04/10/2018,"56 St Helen'S Avenue, St Helen'S, Adamstown",Dublin,264317.18,Yes,Adamstown,Co. Dublin,q4,90%
08/10/2018,"16 St. Helen'S Walk, St. Helen'S, Adamstown",Dublin,259912.0,Yes,Adamstown,Co. Dublin,q4,80%
10/10/2018,"16 St.Helen'S Chase, St.Helen'S, Adamstown",Dublin,255507.0,Yes,Adamstown,Co. Dublin,q3,80%
10/10/2018,"18 St Helen'S Walk, St Helens, Adamstown",Dublin,259911.89,Yes,Adamstown,Co. Dublin,q4,80%
11/10/2018,"3 St. Helen'S Avenue, St. Helen'S, Adamstown",Dublin,251101.32,Yes,Adamstown,Co. Dublin,q3,70%
12/10/2018,"14 St. Helens Walsk, St. Helens, Adamstown",Dublin,307500.0,Yes,Adamstown,Co. Dublin,q4,100%
12/10/2018,"2 Castlegate Mews, Adamstown, Dublin",Dublin,297802.25,No,Adamstown,Co. Dublin,q4,100%
13/10/2018,"31 St Helen'S Drive, St Helen'S, Adamstown",Dublin,251101.32,Yes,Adamstown,Co. Dublin,q3,70%
15/10/2018,"48 St Helen'S Avenue, St Helens, Adamstown",Dublin,259911.81,Yes,Adamstown,Co. Dublin,q4,80%
24/10/2018,"26 Adamstown Park, Adamstown Sq, Adamstown",Dublin,275000.0,No,Adamstown,Co. Dublin,q4,90%
25/10/2018,"20 St Helen'S Walk, St. Helen'S, Adamstown",Dublin,270925.0,Yes,Adamstown,Co. Dublin,q4,90%
25/10/2018,"Adamstown, Garristown, Dublin",Dublin,142500.0,No,Adamstown,Co. Dublin,q1,20%
31/10/2018,"119 Adamstown Ave, Adamstown, Dublin",Dublin,285000.0,No,Adamstown,Co. Dublin,q4,90%
01/11/2018,"15 St. Helen'S Walk, St. Helen'S, Adamstown",Dublin,330397.0,Yes,Adamstown,Co. Dublin,q4,100%
05/11/2018,"12 The Paddocks Rise, The Paddocks, Adamstown",Dublin,325000.0,No,Adamstown,Co. Dublin,q4,100%
05/11/2018,"50 St. Helen'S Avenue, St. Helen'S, Adamstown",Dublin,259911.0,Yes,Adamstown,Co. Dublin,q4,80%
07/11/2018,"22 St. Helen'S Grove, St. Helen'S, Adamstown",Dublin,259913.0,Yes,Adamstown,Co. Dublin,q4,80%
07/11/2018,"28 St Helens Avenue, St Helens, Adamstown",Dublin,255506.61,Yes,Adamstown,Co. Dublin,q3,80%
07/11/2018,"9 St Helen'S Walk, St Helen'S, Adamstown",Dublin,299558.81,Yes,Adamstown,Co. Dublin,q4,100%
12/11/2018,"13 St. Helen'S Chase, St. Helen'S, Adamstown",Dublin,250850.0,Yes,Adamstown,Co. Dublin,q3,70%
13/11/2018,"26 Saint Helens Avenue, Adamstown Lucan",Dublin,255500.0,Yes,Adamstown,Co. Dublin,q3,80%
20/11/2018,"18 St. Helen'S Chase, St. Helen'S, Adamstown",Dublin,255506.0,No,Adamstown,Co. Dublin,q3,80%
22/11/2018,"17 St. Helen'S Chase, St. Helen'S, Adamstown",Dublin,264317.0,Yes,Adamstown,Co. Dublin,q4,80%
22/11/2018,"30 St. Helen'S Avenue, St. Helen'S, Adamstown",Dublin,255507.0,Yes,Adamstown,Co. Dublin,q3,80%
23/11/2018,"18 St. Helens Grove, St. Helen'S, Adamstown Lucan",Dublin,251101.32,Yes,Adamstown,Co. Dublin,q3,70%
23/11/2018,"3 St. Helen'S Downs, St. Helen'S, Adamstown",Dublin,255506.6,Yes,Adamstown,Co. Dublin,q3,80%
26/11/2018,"13 St Helen'S Downs, St Helen'S, Adamstown",Dublin,257337.5,Yes,Adamstown,Co. Dublin,q3,80%
26/11/2018,"56 Castlegale Dene, Adamstown Lucan, Dublin",Dublin,171000.0,No,Adamstown,Co. Dublin,q2,30%
28/11/2018,"9 St Helens Downs, St Helens, Adamstown",Dublin,255507.0,Yes,Adamstown,Co. Dublin,q3,80%
29/11/2018,"24 St. Helen'S Grove, St. Helen'S, Adamstown",Dublin,290749.0,Yes,Adamstown,Co. Dublin,q4,90%
30/11/2018,"4 St. Helen'S Chase, St. Helen'S, Adamstown",Dublin,255506.6,Yes,Adamstown,Co. Dublin,q3,80%
03/12/2018,"12 St. Helen'S Chase, St. Helen'S, Adamstown",Dublin,299559.47,Yes,Adamstown,Co. Dublin,q4,100%
03/12/2018,"Number 9 St. Helen'S Chase, St. Helen'S, Adamstown",Dublin,255506.82,Yes,Adamstown,Co. Dublin,q3,80%
04/12/2018,"17 St. Helen'S Downs, St. Helen'S, Adamstown",Dublin,270925.11,Yes,Adamstown,Co. Dublin,q4,90%
05/12/2018,"6 The Paddocks Place, The Paddocks, Adamstown Lucan",Dublin,240000.0,No,Adamstown,Co. Dublin,q3,60%
11/12/2018,"6 St. Helen'S Chase, St. Helen'S, Adamstown",Dublin,255507.0,Yes,Adamstown,Co. Dublin,q3,80%
12/12/2018,"11 St Helen'S Chase, St. Helen'S, Adamstown",Dublin,255506.61,Yes,Adamstown,Co. Dublin,q3,80%
13/12/2018,"11 St. Helen'S Downs, St. Helen'S, Adamstown",Dublin,255506.6,Yes,Adamstown,Co. Dublin,q3,80%
13/12/2018,"3 Castlegate House, Adamstown Ave, Adamstown",Dublin,180000.0,No,Adamstown,Co. Dublin,q2,40%
17/12/2018,"32 St. Helen'S Avenue, St. Helen'S, Adamstown",Dublin,255507.0,Yes,Adamstown,Co. Dublin,q3,80%
18/12/2018,"12 St Helens Walk, Adamstown",Dublin,301762.0,Yes,Adamstown,Co. Dublin,q4,100%
18/12/2018,"3 The Rise, The Padocks, Adamstown",Dublin,235000.0,No,Adamstown,Co. Dublin,q3,60%
08/01/2019,"57 Adamstown Park, St. Helen'S, Adamstown",Dublin,308370.04,Yes,Adamstown,Co. Dublin,q4,100%
09/01/2019,"11 St. Helen'S Walk, St. Helen'S, Adamstown",Dublin,330396.0,Yes,Adamstown,Co. Dublin,q4,100%
10/01/2019,"8 St. Helen'S Chase, St. Helen'S, Adamstown",Dublin,264317.0,Yes,Adamstown,Co. Dublin,q4,80%
11/01/2019,"43 Adamstown Park, St Helens, Adamstown",Dublin,308371.23,Yes,Adamstown,Co. Dublin,q4,100%
14/01/2019,"110 Adamstown Ave, Adamstown Lucan, Dublin",Dublin,240000.0,No,Adamstown,Co. Dublin,q3,60%
14/01/2019,"7 St. Helen'S Downs, St. Helen'S, Adamstown",Dublin,255506.0,Yes,Adamstown,Co. Dublin,q3,80%
15/01/2019,"59 Adamstown Park, St. Helens, Adamstown",Dublin,310572.68,Yes,Adamstown,Co. Dublin,q4,100%
16/01/2019,"53 Adamstown Park, St. Helen'S, Adamstown",Dublin,299559.47,Yes,Adamstown,Co. Dublin,q4,100%
16/01/2019,"55 Adamstown Park, St. Helen'S, Adamstown",Dublin,299560.0,Yes,Adamstown,Co. Dublin,q4,100%
17/01/2019,"45 Adamstown Park, St. Helen'S, Adamstown",Dublin,299559.0,Yes,Adamstown,Co. Dublin,q4,100%
17/01/2019,"63 Adamstown Park, St. Helen'S, Adamstown",Dublin,301762.0,Yes,Adamstown,Co. Dublin,q4,100%
23/01/2019,"29 Adamstown Park, St Helen'S, Adamstown",Dublin,303964.76,Yes,Adamstown,Co. Dublin,q4,100%
28/01/2019,"51 Adamstown Park, St. Helens, Adamstown",Dublin,299559.47,Yes,Adamstown,Co. Dublin,q4,100%
01/02/2019,"49 Adamstown Park, St. Helens, Adamstown",Dublin,299559.0,Yes,Adamstown,Co. Dublin,q4,100%
06/02/2019,"5 St. Helen'S Walk, St. Helens, Adamstown",Dublin,259911.89,Yes,Adamstown,Co. Dublin,q4,80%
12/02/2019,"7 Adamstown Way, Adamstown, Dublin",Dublin,227500.0,No,Adamstown,Co. Dublin,q3,60%
18/02/2019,"10 St. Helen'S Chase, St. Helen'S, Adamstown",Dublin,303964.0,Yes,Adamstown,Co. Dublin,q4,100%
19/02/2019,"Adamstown, Garristown, Co. Dublin",Dublin,218000.0,No,Adamstown,Co. Dublin,q2,50%
22/02/2019,"20 St. Helen'S Downs, St. Helen'S, Adamstown",Dublin,273127.75,Yes,Adamstown,Co. Dublin,q4,90%
25/02/2019,"6 St. Helen'S Walk, St. Helen'S, Adamstown",Dublin,259900.0,Yes,Adamstown,Co. Dublin,q4,80%
27/02/2019,"14 St. Helen'S Downs, St. Helen'S, Adamstown",Dublin,321586.0,Yes,Adamstown,Co. Dublin,q4,100%
28/02/2019,"1 St. Helen'S Walk, St. Helen'S, Adamstown",Dublin,325991.0,Yes,Adamstown,Co. Dublin,q4,100%
28/02/2019,"16 St. Helen'S Downs, St. Helen'S, Adamstown",Dublin,264317.18,Yes,Adamstown,Co. Dublin,q4,90%
28/02/2019,"2 St. Helens Walk, St. Helens, Adamstown",Dublin,270925.1,Yes,Adamstown,Co. Dublin,q4,90%
04/03/2019,"4 St. Helen;S Downs, St. Helen'S, Adamstown Lucan",Dublin,259911.89,Yes,Adamstown,Co. Dublin,q4,80%
05/03/2019,"18 St Helens Downs, St Helens, Adamstown",Dublin,264317.0,Yes,Adamstown,Co. Dublin,q4,80%
05/03/2019,"8 St. Helen'S Walk, St. Helens, Adamstown",Dublin,270925.1,Yes,Adamstown,Co. Dublin,q4,90%
08/03/2019,"10 St. Helen'S Walk, St. Helen'S, Adamstown",Dublin,306167.0,Yes,Adamstown,Co. Dublin,q4,100%
08/03/2019,"5 St Helen'S Downs, St Helen'S, Adamstown",Dublin,255506.0,Yes,Adamstown,Co. Dublin,q3,80%
08/03/2019,"51 Adamstown Ave, Adamstown, Dublin",Dublin,270000.0,No,Adamstown,Co. Dublin,q4,90%
08/03/2019,"8 St. Helen'S Downs, St. Helen'S, Adamstown",Dublin,259911.89,Yes,Adamstown,Co. Dublin,q4,80%
13/03/2019,"3 St. Helen'S Walk, St. Helen'S, Adamstown",Dublin,259911.89,Yes,Adamstown,Co. Dublin,q4,80%
27/03/2019,"6 St. Helen'S Downs, St. Helen'S, Adamstown",Dublin,259912.0,Yes,Adamstown,Co. Dublin,q4,80%
02/04/2019,"47 Adamstown Park, St. Helen'S, Adamstown",Dublin,299559.47,Yes,Adamstown,Co. Dublin,q4,100%
03/04/2019,"19 Adamstown Park, Adamstown Square, Adamstown",Dublin,334801.76,Yes,Adamstown,Co. Dublin,q4,100%
04/04/2019,"26 Stratton Drive, Adamstown Square, Adamstown",Dublin,361233.0,Yes,Adamstown,Co. Dublin,q4,100%
05/04/2019,"101 Adamstown Way, Adamstown Square, Adamstown",Dublin,295154.18,Yes,Adamstown,Co. Dublin,q4,100%
05/04/2019,"111  Adamstown Way, Adamstwn Square, Adamstown",Dublin,295154.18,Yes,Adamstown,Co. Dublin,q4,100%
08/04/2019,"44 St. Helen'S Avenue, St. Helen'S, Adamstown",Dublin,259911.89,Yes,Adamstown,Co. Dublin,q4,80%
25/04/2019,"28 The Paddocks Sq, Adamstown, Dublin",Dublin,275000.0,No,Adamstown,Co. Dublin,q4,90%
26/04/2019,"107 Adamstown Way, Adamstown Square, Adamstown",Dublin,303964.75,Yes,Adamstown,Co. Dublin,q4,100%
29/05/2019,"7 Castlegate Court, Adamstown Castle, Adamstown",Dublin,250000.0,No,Adamstown,Co. Dublin,q3,70%
30/05/2019,"103 Adamstown Way, Adamstown Square, Adamstown",Dublin,321585.9,Yes,Adamstown,Co. Dublin,q4,100%
07/06/2019,"22 Adamstown Park, Adamstown Square, Adamstown",Dublin,290000.0,No,Adamstown,Co. Dublin,q4,90%
17/06/2019,"48 Stratton Walk, Adamstown Square, Adamstown",Dublin,310000.0,No,Adamstown,Co. Dublin,q4,100%
21/06/2019,"105 Adamstown Way, Adamstown Square, Adamstown",Dublin,281938.32,Yes,Adamstown,Co. Dublin,q4,90%
11/07/2019,"2 The Paddocks Court, Adamstown, Dublin",Dublin,240000.0,No,Adamstown,Co. Dublin,q3,60%
25/07/2019,"109 Adamstown Way, Adamstown Square, Adamstown",Dublin,343612.0,Yes,Adamstown,Co. Dublin,q4,100%
25/07/2019,"206 Adamstown Avenue, Adamstown Square, Adamstown",Dublin,229074.88,Yes,Adamstown,Co. Dublin,q3,60%
31/07/2019,"210 Adamstown Avenue, Adamstown Square, Adamstown",Dublin,237885.46,Yes,Adamstown,Co. Dublin,q3,60%
31/07/2019,"212 Adamstown Avenue, Adamstown Square, Adamstown",Dublin,237885.0,Yes,Adamstown,Co. Dublin,q3,60%
08/08/2019,"42 Strattan Walk, Adamstown Square, Adamstown",Dublin,259000.0,No,Adamstown,Co. Dublin,q4,80%
09/08/2019,"208 Adamsstown Avenue, Adamstown Square, Adamstown",Dublin,233480.17,Yes,Adamstown,Co. Dublin,q3,60%
09/09/2019,"22 The Paddocks Sq, Adamstown, Dublin",Dublin,251000.0,No,Adamstown,Co. Dublin,q3,70%
12/09/2019,"17 The Paddocks Sq, The Paddocks Rd, Adamstown",Dublin,258000.0,No,Adamstown,Co. Dublin,q4,80%
20/09/2019,"49 Adamstown Park, St. Helens, Adamstown",Dublin,354000.0,No,Adamstown,Co. Dublin,q4,100%
24/09/2019,"36 Castlegate Copse, Adamstown, Dublin",Dublin,271000.0,No,Adamstown,Co. Dublin,q4,90%
10/10/2019,"47 The Paddocks View, Adamstown, Dublin",Dublin,320000.0,No,Adamstown,Co. Dublin,q4,100%
